split,model,k_frac,k,base_rate,conversion_rate_contacted,precision_at_k,lift_at_k
random,LogReg,0.2,1647,0.11264870114105366,0.3655130540376442,0.3655130540376442,3.2447160982350356
random,NaiveBayes,0.05,411,0.11264870114105366,0.5279805352798054,0.5279805352798054,4.686965139692927
random,NaiveBayes,0.1,823,0.11264870114105366,0.46051032806804376,0.46051032806804376,4.088021640759207
random,NaiveBayes,0.2,1647,0.11264870114105366,0.33697632058287796,0.33697632058287796,2.9913910872432634
random,KNN,0.05,411,0.11264870114105366,0.610705596107056,0.610705596107056,5.4213283413038
random,KNN,0.1,823,0.11264870114105366,0.4957472660996355,0.4957472660996355,4.400825407466376
random,KNN,0.2,1647,0.11264870114105366,0.3521554341226472,0.3521554341226472,3.1261384335154823
random,DecisionTree,0.05,411,0.11264870114105366,0.656934306569343,0.656934306569343,5.831707777498112
random,DecisionTree,0.1,823,0.11264870114105366,0.5151883353584447,0.5151883353584447,4.573406795994469
random,DecisionTree,0.2,1647,0.11264870114105366,0.3655130540376442,0.3655130540376442,3.2447160982350356
random,RandomForest,0.05,411,0.11264870114105366,0.6593673965936739,0.6593673965936739,5.85330669519255
random,RandomForest,0.1,823,0.11264870114105366,0.5249088699878494,0.5249088699878494,4.659697490258516
random,RandomForest,0.2,1647,0.11264870114105366,0.36854887674559805,0.36854887674559805,3.271665567489479
random,ExtraTrees,0.05,411,0.11264870114105366,0.6301703163017032,0.6301703163017032,5.5941196828593
random,ExtraTrees,0.1,823,0.11264870114105366,0.5176184690157959,0.5176184690157959,4.594979469560481
random,ExtraTrees,0.2,1647,0.11264870114105366,0.3679417122040073,0.3679417122040073,3.2662756736385905
random,XGBoost,0.05,411,0.11264870114105366,0.6447688564476886,0.6447688564476886,5.723713189025925
random,XGBoost,0.1,823,0.11264870114105366,0.543134872417983,0.543134872417983,4.821492542003603
random,XGBoost,0.2,1647,0.11264870114105366,0.3673345476624165,0.3673345476624165,3.2608857797877016
random,LightGBM,0.05,411,0.11264870114105366,0.6520681265206812,0.6520681265206812,5.788509942109237
random,LightGBM,0.1,823,0.11264870114105366,0.5309842041312273,0.5309842041312273,4.713629174173545
random,LightGBM,0.2,1647,0.11264870114105366,0.3691560412871888,0.3691560412871888,3.277055461340368
random,CatBoost,0.05,411,0.11264870114105366,0.6472019464720195,0.6472019464720195,5.7453121067203625
random,CatBoost,0.1,823,0.11264870114105366,0.5467800729040098,0.5467800729040098,4.853851552352621
random,CatBoost,0.2,1647,0.11264870114105366,0.37644201578627806,0.37644201578627806,3.3417341875510327
random,AdaBoost,0.05,411,0.11264870114105366,0.6009732360097324,0.6009732360097324,5.334932670526051
random,AdaBoost,0.1,823,0.11264870114105366,0.49817739975698666,0.49817739975698666,4.422398081032388
random,AdaBoost,0.2,1647,0.11264870114105366,0.35640558591378263,0.35640558591378263,3.163867690471704
random,GradientBoosting,0.05,411,0.11264870114105366,0.6520681265206812,0.6520681265206812,5.788509942109237
random,GradientBoosting,0.1,823,0.11264870114105366,0.5443499392466585,0.5443499392466585,4.8322788787866084
random,GradientBoosting,0.2,1647,0.11264870114105366,0.3709775349119611,0.3709775349119611,3.293225142893034
random,MLP,0.05,411,0.11264870114105366,0.4744525547445255,0.4744525547445255,4.211788950415303
random,MLP,0.1,823,0.11264870114105366,0.36816524908869985,0.36816524908869985,3.268260045250764
random,MLP,0.2,1647,0.11264870114105366,0.2586520947176685,0.2586520947176685,2.296094780478613
